gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107992807,LOC107992807,Gene Expression,A_cer_mkref_out,False,9583
LOC107992805,LOC107992805,Gene Expression,A_cer_mkref_out,False,15482
LOC107992806,LOC107992806,Gene Expression,A_cer_mkref_out,False,1134
LOC107992868,LOC107992868,Gene Expression,A_cer_mkref_out,False,12432
LOC107992792,LOC107992792,Gene Expression,A_cer_mkref_out,False,8893
LOC107992788,LOC107992788,Gene Expression,A_cer_mkref_out,False,14779
LOC107992790,LOC107992790,Gene Expression,A_cer_mkref_out,False,5017
LOC133667054,LOC133667054,Gene Expression,A_cer_mkref_out,False,8529
LOC107992756,LOC107992756,Gene Expression,A_cer_mkref_out,False,24824
LOC133667061,LOC133667061,Gene Expression,A_cer_mkref_out,False,826
LOC133667059,LOC133667059,Gene Expression,A_cer_mkref_out,False,11524
LOC107992759,LOC107992759,Gene Expression,A_cer_mkref_out,False,519
LOC107992757,LOC107992757,Gene Expression,A_cer_mkref_out,False,2827
LOC107992724,LOC107992724,Gene Expression,A_cer_mkref_out,False,7283
LOC108004355,LOC108004355,Gene Expression,A_cer_mkref_out,False,11670
LOC114576779,LOC114576779,Gene Expression,A_cer_mkref_out,False,291
LOC107992713,LOC107992713,Gene Expression,A_cer_mkref_out,False,4759
LOC114576852,LOC114576852,Gene Expression,A_cer_mkref_out,False,1189
LOC107992804,LOC107992804,Gene Expression,A_cer_mkref_out,False,16571
LOC107992875,LOC107992875,Gene Expression,A_cer_mkref_out,False,2770
LOC107992715,LOC107992715,Gene Expression,A_cer_mkref_out,False,21696
LOC107992717,LOC107992717,Gene Expression,A_cer_mkref_out,False,9180
LOC133667068,LOC133667068,Gene Expression,A_cer_mkref_out,False,635
LOC107992716,LOC107992716,Gene Expression,A_cer_mkref_out,False,15304
LOC107992718,LOC107992718,Gene Expression,A_cer_mkref_out,False,3182
LOC133667075,LOC133667075,Gene Expression,A_cer_mkref_out,False,243
LOC107992719,LOC107992719,Gene Expression,A_cer_mkref_out,False,24
LOC107992711,LOC107992711,Gene Expression,A_cer_mkref_out,False,9942
LOC133667076,LOC133667076,Gene Expression,A_cer_mkref_out,False,833
LOC107992786,LOC107992786,Gene Expression,A_cer_mkref_out,False,13561
LOC133667080,LOC133667080,Gene Expression,A_cer_mkref_out,False,1091
LOC107992753,LOC107992753,Gene Expression,A_cer_mkref_out,False,1140
