"","deviance"
"LOC107992807",27421.8124081701
"LOC107992805",29959.4538586659
"LOC107992806",8823.84654068802
"LOC107992868",35782.5878934204
"LOC107992792",24365.9279010509
"LOC107992788",29683.6979607139
"LOC107992790",18326.1409134498
"LOC133667054",24512.7918971399
"LOC107992756",60265.6523499407
"LOC133667061",6135.49776684782
"LOC133667059",36207.8833472942
"LOC107992759",4371.97511333283
"LOC107992757",13442.0503251721
"LOC107992724",22627.8325752245
"LOC108004355",27497.7716948625
"LOC114576779",2653.81122433949
"LOC107992713",17954.7960966084
"LOC114576852",8592.97562944227
"LOC107992804",47507.358227848
"LOC107992875",13061.9244045187
"LOC107992715",52463.8372158674
"LOC107992717",42824.3881048077
"LOC133667068",4921.75733105852
"LOC107992716",44362.8865736565
"LOC107992718",19153.9681864422
"LOC133667075",2443.88956164729
"LOC107992719",333.080058995353
"LOC107992711",60652.3569774197
"LOC133667076",7128.434468337
"LOC107992786",29296.5984443789
"LOC133667080",8355.39777288979
"LOC107992753",8004.52219226813
"LOC107992750",31529.7700762966
"LOC114576853",541.272333615756
"LOC107992749",39701.308900031
"LOC107992752",34288.3273735987
"LOC107992751",28791.2121247827
"LOC107992815",39102.2031844872
"LOC107992814",32320.8779014152
"LOC114576842",34407.8284049814
"LOC107992710",33516.1771077942
"LOC107992845",29228.3886723412
"LOC107992861",42495.1681266851
"LOC107992862",5249.15036011994
"LOC107992782",31159.7841532736
"LOC107992784",11230.5270241434
"LOC108003952",17040.4607226246
"LOC108001131",5557.92481884826
"LOC133665651",848.586317293883
"LOC107992785",1267.57064936566
"LOC107992867",10115.3174600486
"LOC107992869",2647.56047426056
"LOC133667154",2265.03135596579
"LOC107992818",60680.5751006484
"LOC107992801",440.713610474651
"LOC107992802",10249.6305161889
"LOC107992736",3235.06243925329
"LOC107992821",1057.50541009709
"LOC107992819",5165.3435646254
"LOC133667151",1260.62159984643
"LOC107992872",33193.865974672
"LOC107992731",11308.6205127412
"LOC107992841",26309.6034375982
"LOC107992843",13691.0612444706
"LOC107992708",2279.34587951228
"LOC107992824",2383.87667869067
"LOC107992826",6846.44316346883
"LOC107992729",25140.9458858853
"LOC133667167",21537.8678355668
"LOC107992813",18967.9594548974
"LOC107992812",28327.3351515554
"LOC107992726",25894.5469690895
"LOC114578270",113077.342009415
"LOC133667169",7342.6041641523
"LOC107992852",7187.05809209708
"LOC107992851",63651.4228248971
"LOC114576860",1817.07517983352
"LOC107992810",24219.9952379656
"LOC107992811",8014.10730120486
"LOC107992809",18029.0861779428
"LOC107992866",31658.0633781486
"LOC133667191",1179.91108066458
"LOC107992767",26730.5497151428
"LOC107992707",17482.7928813702
"LOC107992766",25074.3425013779
"LOC107992764",25939.4830641033
"LOC107992735",53565.9922209745
"LOC107992857",35996.6812624097
"LOC114576858",1721.69064996628
"LOC107992741",56540.2284531529
"LOC133667204",19393.0035726924
"LOC114576846",4514.73733722644
"LOC114576848",357.269425489751
"LOC107992746",593.971484360796
"LOC107992743",32272.721494247
"LOC133667207",483.199984178832
"LOC133667196",2180.70285408129
"LOC133667193",4784.43133301518
"LOC133667195",7032.61467522568
"LOC107992742",1148.88809972343
"LOC107992734",19896.6881882326
"LOC107992773",973.659636856863
"LOC107992775",617.867531363578
"LOC107992774",32638.9632559691
"LOC133667239",33710.4672132481
"LOC107992828",32516.873904379
"LOC107992732",4265.99252148653
"LOC107992860",25509.1403005298
"LOC107992859",31785.9032067199
"LOC107992730",42746.4902410922
"LOC107992856",29829.1010426317
"LOC107992720",33886.0871123688
"LOC107992781",25614.9792395357
"LOC107992778",25540.0245478129
"LOC107992780",14828.1775547787
"LOC107992777",18315.0916114685
"LOC107992779",27573.5988250881
"LOC107992776",23167.8930416651
"LOC107992706",2603.71416364693
"LOC133667248",6579.3131007384
"LOC107992874",36145.6313217767
"LOC107992705",46631.8206773659
"LOC107992832",23780.6090669415
"LOC107992831",20617.8957276779
"LOC107992847",30413.2079617745
"LOC107992848",24498.5001488358
"LOC107992846",7983.19506071732
"LOC107992770",56677.9473386067
"LOC107992771",21731.3493274314
"LOC107992772",24378.5777500658
"LOC107992768",28892.4716960086
"LOC107992721",28013.2634926582
"LOC107992725",22874.6125252915
"LOC107992728",42522.4779983493
"LOC107992803",36341.49568859
"LOC107992835",21145.872012068
"LOC107992833",27150.3303841571
"LOC107992763",41586.5303626182
"LOC107992760",90135.9967883828
"LOC107992762",2314.38191736345
"LOC114576864",662.882704643381
"LOC107992704",1001.98493993129
"LOC107992873",23976.0406027857
"LOC114576857",6429.77839676749
"LOC107992858",30969.2221772157
"LOC107992854",20978.6604293467
"LOC107992853",36924.3974203253
"LOC107992727",16235.992699798
"LOC107992703",25019.320386196
"LOC107992794",25557.0769109294
"LOC107992793",27821.7502545392
"LOC107992795",21429.1057811724
"LOC107992796",48163.3689423952
"LOC107992844",30158.2518897163
"LOC107992865",16960.9860819528
"LOC107992864",22026.6277327181
"LOC107992723",37104.1455251209
"LOC107992850",19790.7240833267
"LOC107992836",108467.088378564
"LOC133667286",6002.75376555749
"LOC107992738",3363.77199633804
"LOC107992740",544.880789552726
"LOC107992733",28980.8497494058
"LOC107992839",318348.739724302
"LOC133665649",349.950055902162
"LOC114576850",3572.76115008266
"LOC133667336",8322.14536362261
"LOC133667335",3177.96322432434
"LOC133667337",11238.7514700091
"LOC107994898",19664.7224160131
"LOC107994899",1422.48760714981
"LOC107994900",1472.0405502838
"LOC107994689",622.022296113915
"LOC107994816",22685.7386316694
"LOC107994820",9569.91272626634
"LOC107994819",65357.3594591354
"LOC114577095",2456.15322310411
"LOC107994817",585.77913164372
"LOC133667374",2118.92216759391
"LOC114577094",374.153113745611
"LOC133667371",8757.59015572685
"LOC133667369",30390.1915078572
"LOC107994687",844.358335385552
"LOC107994757",3123.09774964626
"LOC108003091",25443.0113245439
"LOC108003090",728.304279390249
"LOC133667378",9386.31026770604
"LOC107994704",9459.99288792435
"LOC107994712",18785.4358523998
"LOC107994778",163889.897043349
"LOC133667394",6709.87331328797
"LOC107994780",1804.39888049902
"LOC107994779",5423.97306322287
"LOC114577097",825.600193157588
"LOC133667396",739.997922070525
"LOC133667393",9946.00888534535
"LOC107994685",344.086311479572
"LOC107994951",81784.443151575
"LOC133666440",8156.61577117897
"LOC114577130",9866.7227406254
"LOC133666442",12029.9904910738
"LOC133666462",785.600363692543
"LOC107994906",1989.97808615839
"LOC133666461",6640.10545448683
"LOC114577132",3142.09179018565
"LOC107994904",1935.0396627781
"LOC133666445",369.960746409878
"LOC114577129",3702.34824007198
"LOC114577133",5065.05584065395
"LOC133666443",2971.76770394879
"LOC133666449",7921.70352679958
"LOC133666459",387.380013583995
"LOC107994753",1077.3949241596
"LOC133666446",855.863164122572
"LOC107994716",36471.0668157488
"LOC107994965",33819.938965893
"LOC133666490",8858.6445771537
"LOC107994996",27866.6997125556
