gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC105186768,LOC105186768,Gene Expression,H_sal_mkref_out,False,44
LOC105180849,LOC105180849,Gene Expression,H_sal_mkref_out,False,2188
LOC105186803,LOC105186803,Gene Expression,H_sal_mkref_out,False,1673
LOC105188139,LOC105188139,Gene Expression,H_sal_mkref_out,False,919
LOC105186752,LOC105186752,Gene Expression,H_sal_mkref_out,False,1750
LOC105186825,LOC105186825,Gene Expression,H_sal_mkref_out,False,2396
LOC112590613,LOC112590613,Gene Expression,H_sal_mkref_out,False,243
LOC105188127,LOC105188127,Gene Expression,H_sal_mkref_out,False,23
LOC105180830,LOC105180830,Gene Expression,H_sal_mkref_out,False,3991
LOC112590631,LOC112590631,Gene Expression,H_sal_mkref_out,False,295
LOC105186857,LOC105186857,Gene Expression,H_sal_mkref_out,False,136
LOC112590625,LOC112590625,Gene Expression,H_sal_mkref_out,False,43
LOC105188125,LOC105188125,Gene Expression,H_sal_mkref_out,False,24
LOC105182064,LOC105182064,Gene Expression,H_sal_mkref_out,False,824
LOC105188142,LOC105188142,Gene Expression,H_sal_mkref_out,False,115
LOC105190959,LOC105190959,Gene Expression,H_sal_mkref_out,False,789
LOC105180847,LOC105180847,Gene Expression,H_sal_mkref_out,False,78
LOC105180821,LOC105180821,Gene Expression,H_sal_mkref_out,False,807
LOC105188135,LOC105188135,Gene Expression,H_sal_mkref_out,False,1000
LOC105188143,LOC105188143,Gene Expression,H_sal_mkref_out,False,2582
LOC105180831,LOC105180831,Gene Expression,H_sal_mkref_out,False,209
LOC105190975,LOC105190975,Gene Expression,H_sal_mkref_out,False,349
LOC105190963,LOC105190963,Gene Expression,H_sal_mkref_out,False,516
LOC105183581,LOC105183581,Gene Expression,H_sal_mkref_out,False,3594
LOC105182066,LOC105182066,Gene Expression,H_sal_mkref_out,False,53
LOC105190955,LOC105190955,Gene Expression,H_sal_mkref_out,False,652
LOC112590612,LOC112590612,Gene Expression,H_sal_mkref_out,False,1031
LOC105188126,LOC105188126,Gene Expression,H_sal_mkref_out,False,546
LOC105180850,LOC105180850,Gene Expression,H_sal_mkref_out,False,1428
LOC105180843,LOC105180843,Gene Expression,H_sal_mkref_out,False,213
LOC105180860,LOC105180860,Gene Expression,H_sal_mkref_out,False,3875
LOC105190967,LOC105190967,Gene Expression,H_sal_mkref_out,False,456
LOC109503714,LOC109503714,Gene Expression,H_sal_mkref_out,False,27
LOC105190525,LOC105190525,Gene Expression,H_sal_mkref_out,False,984
LOC105182068,LOC105182068,Gene Expression,H_sal_mkref_out,False,2964
LOC105184583,LOC105184583,Gene Expression,H_sal_mkref_out,False,1129
LOC105183454,LOC105183454,Gene Expression,H_sal_mkref_out,False,5163
LOC105182054,LOC105182054,Gene Expression,H_sal_mkref_out,False,1963
LOC105190961,LOC105190961,Gene Expression,H_sal_mkref_out,False,1202
LOC105180815,LOC105180815,Gene Expression,H_sal_mkref_out,False,2336
LOC105180824,LOC105180824,Gene Expression,H_sal_mkref_out,False,2580
LOC112590635,LOC112590635,Gene Expression,H_sal_mkref_out,False,77
LOC105182060,LOC105182060,Gene Expression,H_sal_mkref_out,False,40
LOC105180841,LOC105180841,Gene Expression,H_sal_mkref_out,False,598
LOC105180845,LOC105180845,Gene Expression,H_sal_mkref_out,False,854
LOC112590611,LOC112590611,Gene Expression,H_sal_mkref_out,False,186
LOC105188121,LOC105188121,Gene Expression,H_sal_mkref_out,False,3002
LOC105190964,LOC105190964,Gene Expression,H_sal_mkref_out,False,547
LOC105190521,LOC105190521,Gene Expression,H_sal_mkref_out,False,1829
