"","deviance"
"LOC105186768",517.264699981163
"LOC105180849",9597.41994270172
"LOC105186803",7528.34435560667
"LOC105188139",5276.93267863305
"LOC105186752",7724.49809953284
"LOC105186825",11576.474555844
"LOC112590613",2046.20690835143
"LOC105188127",285.66307795846
"LOC105180830",15866.9108628685
"LOC112590631",2272.36023990297
"LOC105186857",1311.32882737065
"LOC112590625",502.527485883199
"LOC105188125",267.222071590751
"LOC105182064",4500.32180418225
"LOC105188142",1163.36090945662
"LOC105190959",4558.36801859378
"LOC105180847",780.649494951363
"LOC105180821",4725.6269779353
"LOC105188135",5356.32452061322
"LOC105188143",10449.8457493991
"LOC105180831",2658.04677584963
"LOC105190975",2342.0919677833
"LOC105190963",3436.52515869364
"LOC105183581",11954.9156812613
"LOC105182066",583.686571597033
"LOC105190955",4224.11866113877
"LOC112590612",5515.54507974823
"LOC105188126",3452.10399822599
"LOC105180850",8033.606672778
"LOC105180843",1795.93667929387
"LOC105180860",13112.746858895
"LOC105190967",2939.50700824437
"LOC109503714",322.341577395246
"LOC105190525",6192.68329684436
"LOC105182068",10995.6779671947
"LOC105184583",6223.57256882781
"LOC105183454",14797.7557801289
"LOC105182054",9005.31712297448
"LOC105190961",6071.94473859568
"LOC105180815",9580.49115853343
"LOC105180824",9921.57757125036
"LOC112590635",773.943773803385
"LOC105182060",492.324487232809
"LOC105180841",3664.71799135926
"LOC105180845",5500.61072578624
"LOC112590611",1675.72311113042
"LOC105188121",12094.5741503074
"LOC105190964",3770.66562095549
"LOC105190521",7698.53776073637
"LOC105190971",4799.02047537688
"LOC105180822",7310.28633576283
"LOC105186784",18352.3035739574
"LOC105190523",6405.79682385826
"LOC105180816",3139.48474080608
"LOC105180829",30449.7516715818
"LOC105190520",8242.36851214131
"LOC105180818",8792.23825149862
"LOC105180835",5797.25486232941
"LOC105182069",3507.67379165102
"LOC105186019",2879.43338917362
"LOC105190965",6893.50232533914
"LOC105182063",36487.5073366924
"LOC112590606",5000.66574901754
"LOC105182057",14084.762959529
"LOC105188137",255.660366706665
"LOC105186017",4049.98902628066
"LOC105192524",4725.9281000594
"LOC105190954",369.047665448153
"LOC105190953",1823.83945251066
"LOC105190524",8446.13622258478
"LOC105180826",3567.91112877961
"LOC105180833",4605.21551873822
"LOC105182061",3183.89434704798
"LOC105180834",1409.73536301716
"LOC105182055",1035.84666094254
"LOC105180817",6961.72784812628
"LOC105190974",5423.97965473187
"LOC105180819",9493.31265574766
"LOC105182065",1327.86917442324
"LOC109504585",14537.8660831859
"LOC105186797",14355.0957453385
"LOC105188122",16677.8255466924
"LOC105188128",5479.80333141025
"LOC105190970",353.986030874039
"LOC105188120",9366.20051195342
"LOC105186016",4435.45369686265
"LOC105188138",6074.52258261535
"LOC105186015",6781.26687692795
"LOC105192350",2440.86716075008
"LOC105190512",8209.62613250496
"LOC105180823",4674.37208629554
"LOC105190966",7839.74186188899
"LOC105182056",2814.76998855841
"LOC105181933",1092.49449695679
"LOC105182059",2029.02085378983
"LOC112590624",877.708799208634
"LOC105186023",15517.359171388
"LOC105190518",8575.98178458505
"LOC105190973",2348.59005765036
"LOC109504582",1389.61884028893
"LOC109504302",929.435995478622
"LOC105188141",6697.71217664017
"LOC105186778",2221.36998798246
"LOC105190514",3087.2910500031
"LOC105183208",6423.02148252769
"LOC105186020",7989.56672611703
"LOC105188124",4596.55041957583
"LOC105190522",9511.40267340997
"LOC105190969",11943.5738730166
"LOC105190515",5262.71706878132
"LOC105180862",2176.94120318665
"LOC105188145",7042.1650740317
"LOC112590634",559.486339044851
"LOC105190958",13798.8906169549
"LOC105180863",4983.43713259892
"LOC105190957",7216.62120289572
"LOC105192525",4694.07358059062
