"","deviance"
"LOC100576147",2406.15598258859
"LOC551556",5529.08836004388
"LOC727596",11131.5565750967
"LOC413675",4950.96103752724
"LOC412361",5202.48684666489
"LOC409313",11175.5590908262
"LOC552435",10383.5673134137
"LOC102655567",4884.29180089737
"LOC726320",3407.24305139501
"LOC551974",13288.2960724743
"LOC726405",7816.09999472282
"LOC102654759",2727.29693306293
"LOC551202",9476.554223071
"LOC413357",11659.8434017089
"LOC727539",12794.0938464774
"LOC725638",9930.75959102852
"LOC724635",4028.03477779421
"LOC725532",4910.22257287624
"LOC412712",7966.10167866286
"LOC410761",4061.75107146933
"LOC409546",23755.2644620869
"LOC725230",11246.0582407367
"LOC724538",11761.7671291709
"LOC102655275",1955.85952729128
"LOC408577",28196.0573185851
"LOC102655032",1715.36596740392
"LOC413813",9430.84030487275
"LOC408624",12027.7257837701
"LOC411572",9609.80352637728
"LOC551893",8948.98492333275
"LOC113219119",6861.48542789518
"LOC102655515",2724.73215244008
"LOC100579021",7175.71956857323
"LOC100577039",477.53081522541
"LOC724327",4550.2073352282
"LOC552374",24467.4192468652
"LOC409078",33198.1431602291
"LOC102655442",883.148384818271
"LOC410726",11627.3747445093
"LOC551418",19896.718110261
"LOC102656333",1057.15009158993
"LOC100578479",13222.1723514931
"LOC550901",7426.03164699602
"LOC551158",9247.95196889366
"LOC552497",11622.9994332867
"LOC551762",11578.9140230235
"LOC724638",5333.86877976608
"LOC408621",11070.6366534537
"LOC100578281",11533.8556961667
"LOC102656429",13274.459700249
"LOC725982",10052.5877520121
"LOC409937",2650.20598840468
"LOC725682",4358.19514961575
"LOC725720",4264.96269331155
"LOC550724",22479.3417757872
"LOC410033",14584.1913479101
"LOC113218960",458.305266043034
"LOC551646",14890.0698341345
"LOC411406",491.378561892995
"LOC100576288",10516.9042105026
"LOC412117",10606.2544771429
"LOC408565",13295.1060044596
"LOC100578309",3579.17563720762
"LOC551978",14166.4102653156
"LOC100577197",1591.45518849549
"LOC552036",16697.5614800021
"LOC409931",11386.5485831886
"LOC102655185",4922.7072884605
"LOC410733",6834.28705146998
"LOC113219418",2502.71238199178
"LOC107964488",17650.4227840088
"LOC724455",11001.6921312437
"LOC100578752",9469.00335918703
"LOC408623",57555.5309763765
"LOC100578543",2068.87500844539
"LOC409860",16375.9312117443
"LOC102655663",1436.72186674479
"LOC102653680",2986.28736556116
"LOC551647",73678.861118556
"LOC725068",33371.0685320219
"LOC726647",17383.2216716355
"LOC724904",1491.06537958387
"LOC413551",13546.9835971459
"LOC409327",31459.0103675794
"LOC411976",4271.62167930537
"LOC107966071",1937.07761702994
"LOC100578952",7202.95608925565
"LOC552440",8418.15461697738
"LOC113219395",2097.74865280132
"LOC410702",11627.596409255
"LOC409481",17382.3559124676
"LOC408600",21756.9355953159
"LOC411836",6040.57951502353
"LOC726119",4761.8189875068
"LOC107965622",2685.83494357927
"LOC113218813",2854.24222375042
"LOC100577074",4088.30070010339
"LOC100577882",2240.74931297034
"LOC551204",13147.3254943672
"LOC409027",21839.5384779714
"LOC410766",15445.3757145331
"LOC551581",3748.26699055011
"LOC412626",5427.7416776911
"LOC107965716",4402.0252784091
"LOC552628",7009.52076869009
"LOC726291",10257.2024770845
"LOC726088",13624.945769517
"LOC411700",18422.457868572
"LOC408602",24192.0727611856
"LOC724798",6764.76254372335
"LOC551280",4860.67780870619
"LOC725388",11581.4094445759
"LOC107966045",441.049745396036
"LOC726014",14321.0142463919
"LOC102655431",283.192751923527
"LOC725045",5984.48264341481
"LOC113218608",1709.397284928
"LOC552197",11055.3049476643
"LOC107966072",2196.53557363001
"LOC726348",12200.1700674093
"Akhr",1628.02938660972
"LOC410688",13361.5306931067
"LOC113218757",347.818529142867
"LOC409096",2841.10153570528
"LOC413574",7853.6419720984
"LOC411850",14330.6939375372
"LOC100576697",5506.09396134239
"LOC410723",17117.2764549647
"LOC410744",3235.48239546919
"LOC100577296",2717.80593955687
"LOC551208",5714.40457768541
"LOC100578913",1635.76468986501
"LOC100577425",3994.61217694636
"LOC101664701",2726.16078536764
"LOC727452",12012.9708776759
"LOC100578245",5279.44298858291
"LOC550903",9255.32961617335
"LOC408626",13572.0237486431
"LOC102655181",1113.18087671932
"LOC725308",9585.26553412137
"LOC102653957",5811.46231342386
"LOC725458",5018.57997328279
"LOC100578631",18303.2384493225
"LOC107965607",527.308787806618
"LOC409859",11459.906331102
"LOC724634",18423.9402585351
"LOC408625",6273.30960579675
"LOC102654555",21533.2304610991
"LOC100577239",6557.00676148288
"LOC113219090",1902.81249041396
"LOC412088",15907.8350969856
"LOC552083",9856.01571132547
"LOC409755",6131.87138576079
"LOC551242",9404.611126719
"LOC724328",10050.0716587279
"LOC552676",8622.67961706832
"LOC552094",16062.0462820509
"LOC726912",11722.5856746923
"LOC725841",7401.11466623387
"LOC551415",9290.64438080716
"LOC724240",14446.0203339458
"Msx",5383.45948810253
"LOC725572",14678.0815573776
"LOC410749",9942.34063056872
"LOC102653822",1479.00896608642
"LOC414039",5942.41735684244
"LOC552473",22425.674258845
"LOC100576770",7095.31535598185
"LOC409053",24436.166500198
"LOC413080",4672.04381045311
"LOC410664",10814.5033066219
"LOC100578378",367.429208926646
"LOC726729",33714.2882317054
"LOC102655540",4799.08545009134
"LOC551906",12026.672042806
"LOC113219285",2128.36264773962
"LOC726220",4615.34431134768
"LOC727144",9108.06649708154
"LOC551386",7399.05529490244
"LOC551818",10807.2197389171
"LOC410157",8620.77549843623
"LOC113218547",4510.59415190786
"LOC552332",16138.5298791783
"LOC107965369",6607.04496568757
"LOC551670",2817.92095485401
"LOC100577533",8374.50403739471
"LOC100576139",6431.66185171724
"LOC113219245",7382.489701885
"LOC100578133",2173.33332981249
"LOC414017",15971.7873690692
"LOC550785",303653.039006456
"LOC413759",32077.0884407535
"LOC552660",9530.32970373773
"LOC410772",5616.00640813488
"LOC724639",11749.8024457063
"LOC100578571",523.800631515973
"LOC725040",10000.9123659834
"LOC550996",13024.4742933326
"LOC725817",5266.28040883869
"LOC409911",18422.4718015834
"LOC113218939",1138.39900552908
"LOC552065",7253.14799745208
"LOC410779",60054.2955327437
"LOC412114",7815.90798094818
"LOC409689",8076.19231981823
"LOC725279",7470.01320558258
"LOC410736",1111.88239451304
"LOC409109",26760.8606275076
"LOC726368",7356.08006051581
"LOC100578657",8905.93936275957
"LOC413425",10347.783717102
"LOC102655652",1881.57023935095
"LOC408574",9990.40787449913
"LOC724326",5427.54707551131
"LOC113218530",903.449059241327
"LOC413674",8688.99125286049
"LOC100578653",8507.58406758311
"LOC409926",12280.9444085451
"LOC113219272",5636.97168024522
"LOC100576505",1250.28747666198
"Rfwd3",29618.5760311197
"LOC102656611",1306.56003874582
"LOC410009",3578.30381779997
"LOC102653658",5278.62356530891
"LOC551205",10733.812547708
"LOC100577822",1697.27608703684
"LOC412287",13584.4002308888
"LOC409417",14486.5137984604
"LOC409074",14138.2174122329
"LOC100576132",9591.67955536271
"LOC410686",39010.3730214371
"LOC100576242",14029.8159922652
"LOC410756",231616.654149755
"LOC100578472",8059.396684226
"LOC411985",14394.7500411745
"LOC410718",46273.6577727466
"LOC409079",7144.34845041295
"rtGEF",12230.5862030452
"LOC725348",10562.8075072315
"LOC726918",14764.5218181854
"LOC113218850",16394.8145922575
"LOC410662",104555.809876729
"LOC726223",8622.72660059925
"LOC100576446",1738.8828348647
"LOC725816",5999.71737250244
"LOC410685",17374.1802639626
"LOC100576700",30779.7264718265
"LOC552294",24051.5299229985
"LOC409392",11852.1603397495
"LOC551558",28672.4536810465
"LOC724618",143358.155238153
"LOC100576662",365.190667297821
"LOC102656426",292.068566596095
"LOC413907",780.488040473528
"LOC551842",9025.54364257213
"LOC102654856",3197.94260231406
"LOC113219261",3822.68518402123
"LOC409261",8401.65635628314
"LOC408614",45954.2895483747
"LOC725746",12916.9330469717
"LOC552366",506.944682467011
"LOC107965508",8696.83327549967
"LOC552229",1888.08232100971
"LOC724193",2370.38170789039
"LOC412397",10125.3254631722
"Grd",32548.7974879682
"LOC413470",18053.5702667917
"LOC412141",8191.83159563735
"Emc",19435.8829136508
"otd2",9871.90811961131
"LOC107965347",649.844547380162
"LOC100577648",10809.1669470056
"LOC725081",15822.7834512966
"LOC113219140",407.374385337517
"LOC551279",45519.329505211
"LOC724118",5047.17631579799
"LOC113218708",5750.07295128918
"LOC100577872",11598.6800946564
"LOC724495",12468.2437974868
"LOC113218910",1868.5166856994
"LOC725712",16736.8813697433
"LOC551320",32960.3158746427
"LOC102654681",9058.45947511548
"LOC409225",8394.86035194401
"LOC726243",21057.6530957188
"LOC102654175",380.463407372772
"LOC409462",8519.36074796475
"LOC100579018",533.754032055189
"LOC552530",19066.5550708342
"LOC724330",6517.94502790709
"LOC411408",11378.7609797465
"LOC408598",15276.7724024694
"LOC100578551",12959.3832975659
"LOC411704",1848.6471184964
"LOC102655107",2758.83464447767
"LOC412016",7227.6704931795
"LOC550645",15325.3413020468
"LOC551531",9549.42741484617
"LOC102654478",729.56203550552
"Glob1",4421.08387567896
"LOC107964283",13419.4378287104
"LOC107963991",10036.8342039665
"LOC113219406",2310.65300775075
"LOC727199",16360.4291077415
"LOC409298",10446.4573053722
"LOC413303",2294.91107531045
"LOC100577992",5862.83813111284
"LOC551791",7595.49511741593
"LOC113219088",5647.61853178532
"LOC551573",10702.7945207196
"LOC413099",9870.27206462345
"LOC100578082",6475.62000319721
"LOC412523",4329.0273729714
"LOC410748",16204.0965341956
"LOC413631",5747.89479384256
"LOC551680",2974.7115529014
"LOC113219004",7880.94212063386
"LOC410061",17162.7530179271
"LOC408618",71730.9633574679
"LOC726591",7783.67396498486
"LOC102656814",4418.74338827294
"LOC552118",7094.75177725485
"LOC102654549",700.380990987274
"LOC413834",17212.1195554156
"LOC102655391",819.827975440922
"LOC409925",13455.6542088964
"LOC726431",11393.6447288263
"LOC408592",1904.96839731734
"LOC102653614",5628.69655964074
"LOC408567",9496.6757726552
"LOC726325",14267.1420189064
"LOC113219389",612.58941497149
"LOC100578883",10413.0146280177
"LOC551381",41236.4563700394
