"","size_factors"
"1",1.33515653035962
"2",1.50836580500942
"3",1.54004649357788
"4",1.62990360351655
"5",1.6402806709293
"6",1.50077950143658
"7",1.49009171314187
"8",1.58199104370838
"9",1.51367366426046
"10",1.37935565505208
"11",1.56713031433617
"12",1.58607916676537
"13",1.44673290767176
"14",1.53502503571879
"15",1.54820282941711
"16",1.64462332871504
"17",1.50595911611504
"18",1.38400672883941
"19",1.48490466058051
"20",1.68490722887429
"21",1.54565211294564
"22",1.4889894766788
"23",1.49548546738806
"24",1.50796178935218
"25",1.61835722431472
"26",1.55737890649304
"27",1.60990522170308
"28",1.668500431605
"29",1.50841816032961
"30",1.5163310665544
"31",1.54920339438936
"32",1.51719079113695
"33",1.53890907689803
"34",1.55488772176792
"35",1.56739469454335
"36",1.53216467422268
"37",1.54755658390638
"38",1.66078690087289
"39",1.54636556853435
"40",1.54594906598555
"41",1.58586798529322
"42",1.46281434422969
"43",1.52101870998171
"44",1.49891317000281
"45",1.71468600590127
"46",1.4953763349272
"47",1.59706554374639
"48",1.6663706045548
"49",1.46173710840527
"50",1.44962194350591
"51",1.52321642807759
"52",1.47004929589938
"53",1.59576282802988
"54",1.57239523389837
"55",1.59224289827091
"56",1.64676440470658
"57",1.64649895539064
"58",1.59262769045186
"59",1.60694648005829
"60",1.61227936378521
"61",1.57997482834505
"62",1.58818544925851
"63",1.440331136326
"64",1.70318230243509
"65",1.55982921428671
"66",1.63033731899823
"67",1.57481207404046
"68",1.52213890663148
"69",1.55027966717856
"70",1.41457946692187
"71",1.61069766075725
"72",1.47807784069405
"73",1.45671995202147
"74",1.53675249504447
"75",1.69060421264934
"76",1.54002466177747
"77",1.592175795909
"78",1.69400304033667
"79",1.41206362401337
"80",1.54423587366348
"81",1.55120833707572
"82",1.59609471700961
"83",1.55538048645933
"84",1.64830468717713
"85",1.61877758696505
"86",1.55317978859904
"87",1.72522986225068
"88",1.56306874329825
"89",1.60617032707048
"90",1.61229058017972
"91",1.50535178791598
"92",1.48448738986226
"93",1.46173269689439
"94",1.60543209106163
"95",1.46961705879953
"96",1.52154581847715
"97",1.74624949597702
"98",1.64146106583869
"99",1.62795473350958
"100",1.68032129800428
"101",1.63898206558858
"102",1.65023293982205
"103",1.5766968774675
"104",1.62300496248175
"105",1.60675419622537
"106",1.74273079045176
"107",1.67804174920803
"108",1.48891341585642
"109",1.60263630929498
"110",1.56444641100725
"111",1.60171985859539
"112",1.52235889357105
"113",1.49822614714009
"114",1.62252579340158
"115",1.64182301503561
"116",1.49027151196157
"117",1.52223109723607
"118",1.64804352176474
"119",1.5875440557689
"120",1.6565726775636
"121",1.52802752912219
"122",1.56802631763577
"123",1.66877279334135
"124",1.58491621898298
"125",1.46575498012698
"126",1.76823553106038
"127",1.61610905086615
"128",1.54804764414497
"129",1.52312958696406
"130",1.69826119840065
"131",1.71823366913346
"132",1.57095244813003
"133",1.60589347617784
"134",1.56410275575021
"135",1.59685691763159
"136",1.45719872976873
"137",1.5051614902779
"138",1.71070990180975
"139",1.49801126866161
"140",1.63843071881521
"141",1.51438335270808
"142",1.5609644608656
"143",1.56020327698285
"144",1.51069619930401
"145",1.53968030745417
"146",1.67401213161796
"147",1.65812834511764
"148",1.62588456200301
"149",1.50459260614279
"150",1.49640450303144
"151",1.4987429072048
"152",1.59298749278964
"153",1.62257160977014
"154",1.60410073941679
"155",1.68252600671895
"156",1.64946285347361
"157",1.50220103112705
"158",1.57202027169107
"159",1.46074367934724
"160",1.57835270980045
"161",1.50913818453836
"162",1.70961221161886
"163",1.50627921940731
"164",1.66111318815505
"165",1.65841220304147
"166",1.63291161220104
"167",1.57747057695134
"168",1.65075414248294
"169",1.68001856581836
"170",1.59546095010888
"171",1.50067560967049
"172",1.64711786089502
"173",1.53597069332933
"174",1.64718980412602
"175",1.49347666607745
"176",1.64361877032772
"177",1.60899348728309
"178",1.62217110917757
"179",1.68947535351082
"180",1.57497432919562
"181",1.61809537993704
"182",1.67797547287177
"183",1.68379138552363
"184",1.60851339986317
"185",1.67787970580007
"186",1.63148820974633
"187",1.57420404705805
"188",1.61175005229032
"189",1.55788095455256
"190",1.66276880213119
"191",1.6783432081275
"192",1.47388774053394
"193",1.43919696880189
"194",1.61711780149245
"195",1.67631861009078
"196",1.49788916354037
"197",1.66632366871377
"198",1.62861152665263
"199",1.63524830830842
"200",1.53045910088475
"201",1.75768502415345
"202",1.63322025538743
"203",1.60469781366916
"204",1.55909113050897
"205",1.65834629626361
"206",1.66473516719766
"207",1.46923262963064
"208",1.65978793182284
"209",1.55848997450525
"210",1.62176536174075
