,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
LOC100576147,LOC100576147,Gene Expression,A_mel_mkref_out,False,90,0.012485666963944451,0.012408363813365702,99.61778570518537,294.0,5.68697535633982,84
LOC551556,LOC551556,Gene Expression,A_mel_mkref_out,False,1028,0.04722469953709602,0.04614352160077207,95.63426338811738,1112.0,7.014814351275545,982
LOC727596,LOC727596,Gene Expression,A_mel_mkref_out,False,3187,0.18520405996517603,0.1699149622642038,86.4653671380643,4361.0,8.380685946761574,3055
LOC413675,LOC413675,Gene Expression,A_mel_mkref_out,False,1097,0.051216715505159896,0.04994826997752951,95.3412324287595,1206.0,7.095893221097532,1055
LOC412361,LOC412361,Gene Expression,A_mel_mkref_out,False,1199,0.06654775555272434,0.0644270357539858,94.9080562279696,1567.0,7.357556200910353,1170
LOC409313,LOC409313,Gene Expression,A_mel_mkref_out,False,4221,0.3264534760266701,0.28250882125286775,82.07414957319403,7687.0,8.947415950650129,4128
LOC552435,LOC552435,Gene Expression,A_mel_mkref_out,False,3286,0.17874888520830678,0.1644536092245161,86.04493141376821,4209.0,8.345217926676428,3147
LOC102655567,LOC102655567,Gene Expression,A_mel_mkref_out,False,731,0.036904913577101114,0.03624023128926016,96.89557056100566,869.0,6.76849321164863,686
LOC726320,LOC726320,Gene Expression,A_mel_mkref_out,False,576,0.02696734191192084,0.026610130939268666,97.55382851318639,635.0,6.455198563340122,555
LOC551974,LOC551974,Gene Expression,A_mel_mkref_out,False,4037,0.39971121586614006,0.33626594096239815,82.85556546481504,9412.0,9.14984699154722,3928
LOC726405,LOC726405,Gene Expression,A_mel_mkref_out,False,2225,0.11474922495434663,0.10862946926110917,90.55081326708286,2702.0,7.902117546276448,2183
LOC102654759,LOC102654759,Gene Expression,A_mel_mkref_out,False,317,0.01392958763324415,0.013833462554007612,98.65375631715293,328.0,5.796057750765372,306
LOC551202,LOC551202,Gene Expression,A_mel_mkref_out,False,2830,0.17174162313670532,0.1584912087758839,87.98148384082897,4044.0,8.305236829492593,2746
LOC413357,LOC413357,Gene Expression,A_mel_mkref_out,False,4234,0.2616044506731218,0.23238428446097764,82.0189408417208,6160.0,8.725994381014571,4082
LOC727539,LOC727539,Gene Expression,A_mel_mkref_out,False,5351,0.43033082770628955,0.3579057655613397,77.27523676052151,10133.0,9.223651386035854,5237
LOC725638,LOC725638,Gene Expression,A_mel_mkref_out,False,3253,0.19301821888138618,0.1764864144839877,86.18507665520023,4545.0,8.422003004412488,3206
LOC724635,LOC724635,Gene Expression,A_mel_mkref_out,False,783,0.036225421497430674,0.035584708486369854,96.67473563511275,853.0,6.74993119378857,779
LOC725532,LOC725532,Gene Expression,A_mel_mkref_out,False,320,0.028963349895952777,0.028551839012505503,98.64101584065911,682.0,6.52649485957079,285
LOC412712,LOC412712,Gene Expression,A_mel_mkref_out,False,2357,0.13840404297787404,0.12962731924351859,89.99023230135474,3259.0,8.089482474360754,2314
LOC410761,LOC410761,Gene Expression,A_mel_mkref_out,False,95,0.0190682464857519,0.01888872597806033,99.59655157769566,449.0,6.1092475827643655,79
LOC409546,LOC409546,Gene Expression,A_mel_mkref_out,False,7405,0.779589756656899,0.5763828639525698,68.55225718775215,18357.0,9.817820725779036,7052
LOC725230,LOC725230,Gene Expression,A_mel_mkref_out,False,3874,0.27948358601945045,0.24645654810201026,83.54779802097931,6581.0,8.792093929503284,3776
LOC724538,LOC724538,Gene Expression,A_mel_mkref_out,False,3857,0.2140400050961906,0.19395364522137454,83.6199940544443,5040.0,8.525359754082631,3777
LOC102655275,LOC102655275,Gene Expression,A_mel_mkref_out,False,248,0.011339024079500574,0.011275219216196992,98.9467872765108,267.0,5.5909869805108565,237
LOC408577,LOC408577,Gene Expression,A_mel_mkref_out,False,12921,2.106892597783157,1.1336230619933962,45.12676774111352,49611.0,10.81198801893522,12204
