gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC107992807,LOC107992807,Gene Expression,A_cer_mkref_out,False,15745
LOC107992805,LOC107992805,Gene Expression,A_cer_mkref_out,False,26385
LOC107992806,LOC107992806,Gene Expression,A_cer_mkref_out,False,1698
LOC107992868,LOC107992868,Gene Expression,A_cer_mkref_out,False,20159
LOC107992792,LOC107992792,Gene Expression,A_cer_mkref_out,False,14692
LOC107992788,LOC107992788,Gene Expression,A_cer_mkref_out,False,24215
LOC107992790,LOC107992790,Gene Expression,A_cer_mkref_out,False,8647
LOC133667054,LOC133667054,Gene Expression,A_cer_mkref_out,False,14155
LOC107992756,LOC107992756,Gene Expression,A_cer_mkref_out,False,42799
LOC133667061,LOC133667061,Gene Expression,A_cer_mkref_out,False,1293
LOC133667059,LOC133667059,Gene Expression,A_cer_mkref_out,False,19775
LOC107992759,LOC107992759,Gene Expression,A_cer_mkref_out,False,811
LOC107992757,LOC107992757,Gene Expression,A_cer_mkref_out,False,4971
LOC107992724,LOC107992724,Gene Expression,A_cer_mkref_out,False,12807
LOC108004355,LOC108004355,Gene Expression,A_cer_mkref_out,False,18754
LOC114576779,LOC114576779,Gene Expression,A_cer_mkref_out,False,418
LOC107992713,LOC107992713,Gene Expression,A_cer_mkref_out,False,8054
LOC114576852,LOC114576852,Gene Expression,A_cer_mkref_out,False,1847
LOC107992804,LOC107992804,Gene Expression,A_cer_mkref_out,False,28787
LOC107992875,LOC107992875,Gene Expression,A_cer_mkref_out,False,4733
LOC107992715,LOC107992715,Gene Expression,A_cer_mkref_out,False,35474
LOC107992717,LOC107992717,Gene Expression,A_cer_mkref_out,False,14746
LOC133667068,LOC133667068,Gene Expression,A_cer_mkref_out,False,1009
LOC107992716,LOC107992716,Gene Expression,A_cer_mkref_out,False,23536
LOC107992718,LOC107992718,Gene Expression,A_cer_mkref_out,False,4673
LOC133667075,LOC133667075,Gene Expression,A_cer_mkref_out,False,406
LOC107992719,LOC107992719,Gene Expression,A_cer_mkref_out,False,43
LOC107992711,LOC107992711,Gene Expression,A_cer_mkref_out,False,14998
LOC133667076,LOC133667076,Gene Expression,A_cer_mkref_out,False,1197
LOC107992786,LOC107992786,Gene Expression,A_cer_mkref_out,False,21804
LOC133667080,LOC133667080,Gene Expression,A_cer_mkref_out,False,1827
LOC107992753,LOC107992753,Gene Expression,A_cer_mkref_out,False,2140
LOC107992750,LOC107992750,Gene Expression,A_cer_mkref_out,False,24371
LOC114576853,LOC114576853,Gene Expression,A_cer_mkref_out,False,81
LOC107992749,LOC107992749,Gene Expression,A_cer_mkref_out,False,16853
LOC107992752,LOC107992752,Gene Expression,A_cer_mkref_out,False,39991
LOC107992751,LOC107992751,Gene Expression,A_cer_mkref_out,False,24584
LOC107992815,LOC107992815,Gene Expression,A_cer_mkref_out,False,35190
LOC107992814,LOC107992814,Gene Expression,A_cer_mkref_out,False,29272
LOC114576842,LOC114576842,Gene Expression,A_cer_mkref_out,False,25348
