"","deviance"
"LOC107992807",46805.9530783305
"LOC107992805",52756.0470569275
"LOC107992806",14051.4956681673
"LOC107992868",59669.0241810773
"LOC107992792",41756.7002056747
"LOC107992788",51728.2802476949
"LOC107992790",32129.379258679
"LOC133667054",42703.4795102779
"LOC107992756",99150.5662145228
"LOC133667061",10076.1679696126
"LOC133667059",62421.4598079202
"LOC107992759",7046.51471228653
"LOC107992757",23761.9560655632
"LOC107992724",40049.733119397
"LOC108004355",46875.9501221324
"LOC114576779",3975.87493866311
"LOC107992713",31027.8608986712
"LOC114576852",13825.0484627055
"LOC107992804",92434.4770750031
"LOC107992875",22613.7232254989
"LOC107992715",87034.8970310609
"LOC107992717",69071.0118194391
"LOC133667068",8081.44629679744
"LOC107992716",70982.3020696307
"LOC107992718",29725.7281078321
"LOC133667075",4180.47860757729
"LOC107992719",596.360455561205
"LOC107992711",93725.1894518867
"LOC133667076",10710.1409855394
"LOC107992786",49762.46452275
"LOC133667080",14280.3506447836
"LOC107992753",14884.2983541892
"LOC107992750",56494.9140030254
"LOC114576853",1023.49907040653
"LOC107992749",67441.6108564237
"LOC107992752",61023.4581854162
"LOC107992751",51720.1680340624
"LOC107992815",67774.7003833547
"LOC107992814",56471.8167821458
"LOC114576842",60675.6387114546
"LOC107992710",59458.3008960763
"LOC107992845",50823.170880459
"LOC107992861",68328.4505206531
"LOC107992862",9611.88658087057
"LOC107992782",54363.3485369675
"LOC107992784",20347.4896919982
"LOC108003952",26591.3005659771
"LOC108001131",7703.4972533293
"LOC133665651",1217.08561309012
"LOC107992785",2053.77953308545
"LOC107992867",12787.8192561828
"LOC107992869",4697.71904625226
"LOC133667154",3927.3800960317
"LOC107992818",103823.444433517
"LOC107992801",760.088358184962
"LOC107992802",15347.4616564034
"LOC107992736",5504.2467002833
"LOC107992821",1956.98895249637
"LOC107992819",8466.04201425249
"LOC133667151",2223.70043390238
"LOC107992872",58068.2813282945
"LOC107992731",17860.7367727399
"LOC107992841",47932.714191652
"LOC107992843",28549.7217224062
"LOC107992708",4054.32807162069
"LOC107992824",4866.31125017017
"LOC107992826",14752.8856584729
"LOC107992729",42384.0747760284
"LOC107992825",430.432635832088
"LOC133667167",35665.6202166759
"LOC107992813",33228.1088261548
"LOC107992812",47415.4017723424
"LOC107992726",45653.1848716167
"LOC114578270",179910.503512932
"LOC133667169",12080.472161023
"LOC107992852",11599.8479374597
"LOC107992851",104180.135083115
