gene_id,gene_ids,feature_types,genome,mt,n_cells
LOC100576147,LOC100576147,Gene Expression,A_mel_mkref_out,False,428
LOC100577342,LOC100577342,Gene Expression,A_mel_mkref_out,False,82
LOC551556,LOC551556,Gene Expression,A_mel_mkref_out,False,9589
LOC727596,LOC727596,Gene Expression,A_mel_mkref_out,False,17128
LOC102653881,LOC102653881,Gene Expression,A_mel_mkref_out,False,53
LOC413675,LOC413675,Gene Expression,A_mel_mkref_out,False,6208
LOC412361,LOC412361,Gene Expression,A_mel_mkref_out,False,6750
LOC100576257,LOC100576257,Gene Expression,A_mel_mkref_out,False,64
LOC409313,LOC409313,Gene Expression,A_mel_mkref_out,False,20967
LOC552435,LOC552435,Gene Expression,A_mel_mkref_out,False,17769
LOC102655567,LOC102655567,Gene Expression,A_mel_mkref_out,False,4066
LOC726320,LOC726320,Gene Expression,A_mel_mkref_out,False,4925
LOC551974,LOC551974,Gene Expression,A_mel_mkref_out,False,19258
LOC726405,LOC726405,Gene Expression,A_mel_mkref_out,False,14451
LOC102654759,LOC102654759,Gene Expression,A_mel_mkref_out,False,1897
LOC551202,LOC551202,Gene Expression,A_mel_mkref_out,False,15208
LOC413357,LOC413357,Gene Expression,A_mel_mkref_out,False,22679
LOC727539,LOC727539,Gene Expression,A_mel_mkref_out,False,27955
LOC725638,LOC725638,Gene Expression,A_mel_mkref_out,False,16462
LOC724635,LOC724635,Gene Expression,A_mel_mkref_out,False,3538
LOC725532,LOC725532,Gene Expression,A_mel_mkref_out,False,1598
LOC412712,LOC412712,Gene Expression,A_mel_mkref_out,False,12225
LOC410761,LOC410761,Gene Expression,A_mel_mkref_out,False,741
LOC409546,LOC409546,Gene Expression,A_mel_mkref_out,False,42162
LOC725230,LOC725230,Gene Expression,A_mel_mkref_out,False,20994
LOC724538,LOC724538,Gene Expression,A_mel_mkref_out,False,22127
LOC102655275,LOC102655275,Gene Expression,A_mel_mkref_out,False,2249
LOC408577,LOC408577,Gene Expression,A_mel_mkref_out,False,71597
LOC102655032,LOC102655032,Gene Expression,A_mel_mkref_out,False,1548
LOC413813,LOC413813,Gene Expression,A_mel_mkref_out,False,16277
LOC408624,LOC408624,Gene Expression,A_mel_mkref_out,False,27951
LOC411572,LOC411572,Gene Expression,A_mel_mkref_out,False,15831
LOC551893,LOC551893,Gene Expression,A_mel_mkref_out,False,14839
LOC113219119,LOC113219119,Gene Expression,A_mel_mkref_out,False,10165
LOC102655515,LOC102655515,Gene Expression,A_mel_mkref_out,False,2716
LOC100579021,LOC100579021,Gene Expression,A_mel_mkref_out,False,9675
LOC100577039,LOC100577039,Gene Expression,A_mel_mkref_out,False,332
LOC724327,LOC724327,Gene Expression,A_mel_mkref_out,False,6478
LOC552374,LOC552374,Gene Expression,A_mel_mkref_out,False,20392
LOC409078,LOC409078,Gene Expression,A_mel_mkref_out,False,23862
LOC102655442,LOC102655442,Gene Expression,A_mel_mkref_out,False,567
LOC410726,LOC410726,Gene Expression,A_mel_mkref_out,False,25002
LOC551418,LOC551418,Gene Expression,A_mel_mkref_out,False,30455
LOC102656333,LOC102656333,Gene Expression,A_mel_mkref_out,False,568
LOC100578479,LOC100578479,Gene Expression,A_mel_mkref_out,False,25498
LOC550901,LOC550901,Gene Expression,A_mel_mkref_out,False,10255
LOC551158,LOC551158,Gene Expression,A_mel_mkref_out,False,11793
LOC552497,LOC552497,Gene Expression,A_mel_mkref_out,False,25545
LOC551762,LOC551762,Gene Expression,A_mel_mkref_out,False,23796
LOC724638,LOC724638,Gene Expression,A_mel_mkref_out,False,6372
LOC408621,LOC408621,Gene Expression,A_mel_mkref_out,False,20701
LOC100578281,LOC100578281,Gene Expression,A_mel_mkref_out,False,23963
LOC102656429,LOC102656429,Gene Expression,A_mel_mkref_out,False,23778
LOC725982,LOC725982,Gene Expression,A_mel_mkref_out,False,18593
LOC409937,LOC409937,Gene Expression,A_mel_mkref_out,False,1420
LOC725682,LOC725682,Gene Expression,A_mel_mkref_out,False,8680
LOC725720,LOC725720,Gene Expression,A_mel_mkref_out,False,3361
LOC550724,LOC550724,Gene Expression,A_mel_mkref_out,False,34571
LOC410033,LOC410033,Gene Expression,A_mel_mkref_out,False,27829
LOC113218960,LOC113218960,Gene Expression,A_mel_mkref_out,False,329
LOC551646,LOC551646,Gene Expression,A_mel_mkref_out,False,23524
LOC411406,LOC411406,Gene Expression,A_mel_mkref_out,False,442
LOC100576288,LOC100576288,Gene Expression,A_mel_mkref_out,False,8085
LOC412117,LOC412117,Gene Expression,A_mel_mkref_out,False,20923
LOC408565,LOC408565,Gene Expression,A_mel_mkref_out,False,29272
LOC100578309,LOC100578309,Gene Expression,A_mel_mkref_out,False,4278
LOC551978,LOC551978,Gene Expression,A_mel_mkref_out,False,30983
LOC100577197,LOC100577197,Gene Expression,A_mel_mkref_out,False,1670
LOC552036,LOC552036,Gene Expression,A_mel_mkref_out,False,30381
LOC409931,LOC409931,Gene Expression,A_mel_mkref_out,False,15944
LOC102655185,LOC102655185,Gene Expression,A_mel_mkref_out,False,4154
LOC410733,LOC410733,Gene Expression,A_mel_mkref_out,False,7635
LOC113219418,LOC113219418,Gene Expression,A_mel_mkref_out,False,1901
LOC107964488,LOC107964488,Gene Expression,A_mel_mkref_out,False,34887
LOC724455,LOC724455,Gene Expression,A_mel_mkref_out,False,18741
LOC100578752,LOC100578752,Gene Expression,A_mel_mkref_out,False,15160
LOC408623,LOC408623,Gene Expression,A_mel_mkref_out,False,74954
LOC100578543,LOC100578543,Gene Expression,A_mel_mkref_out,False,1052
LOC409860,LOC409860,Gene Expression,A_mel_mkref_out,False,45867
LOC102655663,LOC102655663,Gene Expression,A_mel_mkref_out,False,1159
LOC102653680,LOC102653680,Gene Expression,A_mel_mkref_out,False,2171
LOC551647,LOC551647,Gene Expression,A_mel_mkref_out,False,75717
LOC725068,LOC725068,Gene Expression,A_mel_mkref_out,False,71417
LOC726647,LOC726647,Gene Expression,A_mel_mkref_out,False,50564
LOC724904,LOC724904,Gene Expression,A_mel_mkref_out,False,857
LOC413551,LOC413551,Gene Expression,A_mel_mkref_out,False,28464
LOC724281,LOC724281,Gene Expression,A_mel_mkref_out,False,123
LOC409327,LOC409327,Gene Expression,A_mel_mkref_out,False,59482
LOC411976,LOC411976,Gene Expression,A_mel_mkref_out,False,3308
LOC107966071,LOC107966071,Gene Expression,A_mel_mkref_out,False,1341
LOC100578952,LOC100578952,Gene Expression,A_mel_mkref_out,False,7211
LOC552440,LOC552440,Gene Expression,A_mel_mkref_out,False,12012
LOC113219395,LOC113219395,Gene Expression,A_mel_mkref_out,False,1766
LOC410702,LOC410702,Gene Expression,A_mel_mkref_out,False,23664
LOC409481,LOC409481,Gene Expression,A_mel_mkref_out,False,35688
LOC408600,LOC408600,Gene Expression,A_mel_mkref_out,False,54886
LOC113219103,LOC113219103,Gene Expression,A_mel_mkref_out,False,43
LOC411836,LOC411836,Gene Expression,A_mel_mkref_out,False,6854
LOC726119,LOC726119,Gene Expression,A_mel_mkref_out,False,6473
LOC107965622,LOC107965622,Gene Expression,A_mel_mkref_out,False,2053
LOC113218813,LOC113218813,Gene Expression,A_mel_mkref_out,False,2342
LOC100577074,LOC100577074,Gene Expression,A_mel_mkref_out,False,2855
LOC100577882,LOC100577882,Gene Expression,A_mel_mkref_out,False,828
LOC551204,LOC551204,Gene Expression,A_mel_mkref_out,False,33030
LOC409027,LOC409027,Gene Expression,A_mel_mkref_out,False,54827
LOC410766,LOC410766,Gene Expression,A_mel_mkref_out,False,38965
LOC551581,LOC551581,Gene Expression,A_mel_mkref_out,False,2330
LOC412626,LOC412626,Gene Expression,A_mel_mkref_out,False,6677
LOC107965716,LOC107965716,Gene Expression,A_mel_mkref_out,False,2344
LOC552628,LOC552628,Gene Expression,A_mel_mkref_out,False,9479
LOC726291,LOC726291,Gene Expression,A_mel_mkref_out,False,21467
LOC726088,LOC726088,Gene Expression,A_mel_mkref_out,False,25441
LOC411700,LOC411700,Gene Expression,A_mel_mkref_out,False,35013
LOC408602,LOC408602,Gene Expression,A_mel_mkref_out,False,69918
LOC724798,LOC724798,Gene Expression,A_mel_mkref_out,False,9235
LOC551280,LOC551280,Gene Expression,A_mel_mkref_out,False,1853
LOC107965530,LOC107965530,Gene Expression,A_mel_mkref_out,False,51
LOC725388,LOC725388,Gene Expression,A_mel_mkref_out,False,23442
LOC107966045,LOC107966045,Gene Expression,A_mel_mkref_out,False,149
LOC102655811,LOC102655811,Gene Expression,A_mel_mkref_out,False,246
LOC107966060,LOC107966060,Gene Expression,A_mel_mkref_out,False,61
LOC726014,LOC726014,Gene Expression,A_mel_mkref_out,False,33722
LOC102655431,LOC102655431,Gene Expression,A_mel_mkref_out,False,233
LOC725045,LOC725045,Gene Expression,A_mel_mkref_out,False,7686
LOC113218608,LOC113218608,Gene Expression,A_mel_mkref_out,False,1683
LOC552197,LOC552197,Gene Expression,A_mel_mkref_out,False,21980
LOC107966072,LOC107966072,Gene Expression,A_mel_mkref_out,False,1734
LOC726348,LOC726348,Gene Expression,A_mel_mkref_out,False,23343
Akhr,GeneID_551388,Gene Expression,A_mel_mkref_out,False,1027
LOC410688,LOC410688,Gene Expression,A_mel_mkref_out,False,31155
LOC113218757,LOC113218757,Gene Expression,A_mel_mkref_out,False,155
LOC409096,LOC409096,Gene Expression,A_mel_mkref_out,False,1722
LOC413574,LOC413574,Gene Expression,A_mel_mkref_out,False,10799
LOC411850,LOC411850,Gene Expression,A_mel_mkref_out,False,34077
LOC100576697,LOC100576697,Gene Expression,A_mel_mkref_out,False,5116
LOC410723,LOC410723,Gene Expression,A_mel_mkref_out,False,31565
LOC410744,LOC410744,Gene Expression,A_mel_mkref_out,False,2972
LOC100577296,LOC100577296,Gene Expression,A_mel_mkref_out,False,2283
LOC551208,LOC551208,Gene Expression,A_mel_mkref_out,False,5953
LOC100578913,LOC100578913,Gene Expression,A_mel_mkref_out,False,1499
LOC100577425,LOC100577425,Gene Expression,A_mel_mkref_out,False,3494
LOC101664701,LOC101664701,Gene Expression,A_mel_mkref_out,False,1006
LOC727452,LOC727452,Gene Expression,A_mel_mkref_out,False,23441
LOC100578245,LOC100578245,Gene Expression,A_mel_mkref_out,False,6558
LOC550903,LOC550903,Gene Expression,A_mel_mkref_out,False,15495
LOC102656752,LOC102656752,Gene Expression,A_mel_mkref_out,False,49
LOC408626,LOC408626,Gene Expression,A_mel_mkref_out,False,32475
LOC113219192,LOC113219192,Gene Expression,A_mel_mkref_out,False,41
LOC102655181,LOC102655181,Gene Expression,A_mel_mkref_out,False,496
LOC725308,LOC725308,Gene Expression,A_mel_mkref_out,False,15216
LOC102653957,LOC102653957,Gene Expression,A_mel_mkref_out,False,5649
LOC725458,LOC725458,Gene Expression,A_mel_mkref_out,False,4026
LOC100578631,LOC100578631,Gene Expression,A_mel_mkref_out,False,49153
LOC107965607,LOC107965607,Gene Expression,A_mel_mkref_out,False,550
LOC409859,LOC409859,Gene Expression,A_mel_mkref_out,False,22858
LOC724634,LOC724634,Gene Expression,A_mel_mkref_out,False,66200
LOC408625,LOC408625,Gene Expression,A_mel_mkref_out,False,9189
LOC102654555,LOC102654555,Gene Expression,A_mel_mkref_out,False,26483
LOC100577239,LOC100577239,Gene Expression,A_mel_mkref_out,False,5835
LOC113219090,LOC113219090,Gene Expression,A_mel_mkref_out,False,1461
LOC412088,LOC412088,Gene Expression,A_mel_mkref_out,False,24217
LOC552083,LOC552083,Gene Expression,A_mel_mkref_out,False,14137
LOC409755,LOC409755,Gene Expression,A_mel_mkref_out,False,8722
LOC551242,LOC551242,Gene Expression,A_mel_mkref_out,False,18674
LOC724328,LOC724328,Gene Expression,A_mel_mkref_out,False,17286
LOC552676,LOC552676,Gene Expression,A_mel_mkref_out,False,13058
LOC552094,LOC552094,Gene Expression,A_mel_mkref_out,False,47099
LOC726912,LOC726912,Gene Expression,A_mel_mkref_out,False,10837
LOC725841,LOC725841,Gene Expression,A_mel_mkref_out,False,8416
LOC551415,LOC551415,Gene Expression,A_mel_mkref_out,False,14934
LOC724240,LOC724240,Gene Expression,A_mel_mkref_out,False,31898
Msx,GeneID_724456,Gene Expression,A_mel_mkref_out,False,1175
LOC725572,LOC725572,Gene Expression,A_mel_mkref_out,False,21311
LOC410749,LOC410749,Gene Expression,A_mel_mkref_out,False,19305
LOC724197,LOC724197,Gene Expression,A_mel_mkref_out,False,47
LOC100578334,LOC100578334,Gene Expression,A_mel_mkref_out,False,39
LOC102653822,LOC102653822,Gene Expression,A_mel_mkref_out,False,979
