"","deviance"
"LOC100576147",11864.8606233361
"LOC100577342",1132.26011365411
"LOC551556",47724.5042737781
"LOC727596",62328.5664476523
"LOC102653881",843.982606660204
"LOC413675",29492.8683119659
"LOC412361",29173.6196989728
"LOC100576257",994.811873045616
"LOC409313",62472.3921385927
"LOC552435",59273.1321372752
"LOC102655567",28056.4204955268
"LOC726320",26040.960395309
"LOC551974",72422.6370956708
"LOC726405",49824.6965113553
"LOC102654759",16837.4497540402
"LOC551202",54264.6846292367
"LOC413357",66154.9894945325
"LOC727539",75230.6127969037
"LOC725638",54554.4823108006
"LOC724635",20440.7048158969
"LOC725532",24625.7294968031
"LOC412712",44098.9708955268
"LOC410761",28013.7845034375
"LOC409546",134734.721500858
"LOC725230",76275.4697583653
"LOC724538",69267.9144742166
"LOC102655275",16701.7282846838
"LOC408577",165361.612730423
"LOC102655032",14276.9410669165
"LOC413813",53980.3201131537
"LOC408624",68738.5170764731
"LOC411572",52512.2788890568
"LOC551893",54134.0830062635
"LOC113219119",39636.0275336087
"LOC102655515",19997.6412319745
"LOC100579021",43048.5321343528
"LOC100577039",4101.20603712959
"LOC724327",30120.4906529147
"LOC552374",168616.117437239
"LOC409078",186189.647480545
"LOC102655442",5534.18339134026
"LOC410726",72696.9741373586
"LOC551418",115935.534949156
"LOC102656333",6185.75932248474
"LOC100578479",74380.7639589986
"LOC550901",38898.049518915
"LOC551158",49094.0213149755
"LOC552497",67380.5142985885
"LOC551762",70784.5401127541
"LOC724638",29845.4549868149
"LOC408621",63778.011355838
"LOC100578281",65930.8681412566
"LOC102656429",77358.4386488311
"LOC725982",58231.6629976133
"LOC409937",21131.124488202
"LOC725682",44973.3279891095
"LOC725720",26030.2134048789
"LOC550724",118627.805945998
"LOC410033",91057.8862129909
"LOC113218960",3878.10188140831
"LOC551646",78500.8233481164
"LOC411406",5588.14684260408
"LOC100576288",49434.1709407746
"LOC412117",72067.6706342502
"LOC408565",75558.4176309821
"LOC100578309",25929.4283459389
"LOC551978",79167.7967123198
"LOC100577197",12136.6317315437
"LOC552036",99829.2738653561
"LOC409931",80329.8396792246
"LOC102655185",34604.3687701009
"LOC410733",48482.7672434388
"LOC113219418",12863.2948998724
"LOC107964488",128754.868426932
"LOC724455",62650.4020134611
"LOC100578752",52766.8184975468
"LOC408623",331531.165944636
"LOC100578543",10485.4756470019
"LOC409860",95423.635165045
"LOC102655663",10490.0052166008
"LOC102653680",20338.9340511808
"LOC551647",439743.79054767
"LOC725068",203652.063853113
"LOC726647",99707.5204936038
"LOC724904",11037.4940014552
"LOC413551",76461.3189010299
"LOC724281",2597.64374135642
"LOC409327",180096.031114378
"LOC411976",28585.3084291035
"LOC107966071",10334.2688611193
"LOC100578952",38610.2574668597
"LOC552440",44201.4307548341
"LOC113219395",13105.4743544873
"LOC410702",67849.1972948875
"LOC409481",102668.733405602
"LOC408600",133060.63422887
"LOC113219103",689.825491524589
"LOC411836",30630.8220883303
"LOC726119",51469.6670552722
"LOC107965622",18266.6252750912
"LOC113218813",24186.9740849367
"LOC100577074",21586.9540959156
"LOC100577882",10439.8824703502
"LOC551204",85198.6687015968
"LOC409027",130997.914933176
"LOC410766",88390.3009155099
"LOC551581",24142.0594673761
"LOC412626",29010.0480635265
"LOC107965716",21573.3046579419
"LOC552628",38134.0820339217
"LOC726291",60182.1097210005
"LOC726088",76579.3073058985
"LOC411700",122523.319881225
"LOC408602",144287.615002601
"LOC724798",36984.1074093884
"LOC551280",38973.2356682722
"LOC107965530",836.50781344929
"LOC725388",66568.7154333168
"LOC107966045",2269.14948103607
"LOC102655811",2863.34377320667
"LOC107966060",890.526739448631
"LOC726014",81735.4737143198
"LOC102655431",2800.60515921115
"LOC725045",33212.5913121356
