tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	db_xref	exception	experiment	gbkey	gene	gene_biotype	inference	locus_tag	product	protein_id	transcript_biotype
XM_017048878.3	LOC107992807	NC_083852.1	-	6	713	312	197	204	GeneID:107992807		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992807	protein_coding				XP_016904367.1	mRNA
XM_017048879.3	LOC107992807	NC_083852.1	-	5	1167	312	651	204	GeneID:107992807		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992807	protein_coding				XP_016904368.1	mRNA
XM_062082541.1	LOC107992805	NC_083852.1	+	6	4095	3759	155	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938525.1	mRNA
XM_062082566.1	LOC107992805	NC_083852.1	+	7	4344	3717	446	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938550.1	mRNA
XM_062082576.1	LOC107992805	NC_083852.1	+	7	4339	3675	483	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938560.1	mRNA
XM_062082526.1	LOC107992805	NC_083852.1	+	6	4425	3801	443	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938510.1	mRNA
XM_062082546.1	LOC107992805	NC_083852.1	+	6	4470	3759	530	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938530.1	mRNA
XM_062082555.1	LOC107992805	NC_083852.1	+	6	4456	3759	516	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938539.1	mRNA
XM_062082532.1	LOC107992805	NC_083852.1	+	6	4420	3759	480	181	GeneID:107992805		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992805	protein_coding				XP_061938516.1	mRNA
XM_062082586.1	LOC107992806	NC_083852.1	-	20	3999	3534	136	329	GeneID:107992806		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992806	protein_coding				XP_061938570.1	mRNA
XM_062082591.1	LOC107992806	NC_083852.1	-	19	3611	3150	132	329	GeneID:107992806		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992806	protein_coding				XP_061938575.1	mRNA
XM_028664325.2	LOC107992868	NC_083852.1	+	4	2166	1617	508	41	GeneID:107992868		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992868	protein_coding				XP_028520126.1	mRNA
XM_062082739.1	LOC107992868	NC_083852.1	+	3	1849	1584	224	41	GeneID:107992868		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992868	protein_coding				XP_061938723.1	mRNA
XM_017048986.3	LOC107992868	NC_083852.1	+	3	1793	1584	168	41	GeneID:107992868		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992868	protein_coding				XP_016904475.1	mRNA
XM_017048857.3	LOC107992792	NC_083852.1	-	5	1321	600	295	426	GeneID:107992792		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992792	protein_coding				XP_016904346.1	mRNA
XM_062082849.1	LOC107992792	NC_083852.1	-	5	1016	291	299	426	GeneID:107992792		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992792	protein_coding				XP_061938833.1	mRNA
XR_009832158.1	LOC107992788	NC_083852.1	+	10	2025	0	0	0	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	misc_RNA	LOC107992788	protein_coding					transcript
XR_009832159.1	LOC107992788	NC_083852.1	+	9	1953	0	0	0	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	misc_RNA	LOC107992788	protein_coding					transcript
XR_009832160.1	LOC107992788	NC_083852.1	+	8	1929	0	0	0	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	misc_RNA	LOC107992788	protein_coding					transcript
XM_062082793.1	LOC107992788	NC_083852.1	+	9	2143	1203	119	821	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992788	protein_coding				XP_061938777.1	mRNA
XM_062082803.1	LOC107992788	NC_083852.1	+	8	2119	1179	119	821	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992788	protein_coding				XP_061938787.1	mRNA
XM_062082811.1	LOC107992788	NC_083852.1	+	8	2071	1131	119	821	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992788	protein_coding				XP_061938795.1	mRNA
XM_062082819.1	LOC107992788	NC_083852.1	+	7	2047	1107	119	821	GeneID:107992788		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992788	protein_coding				XP_061938803.1	mRNA
XM_017048853.3	LOC107992790	NC_083852.1	-	6	1092	900	158	34	GeneID:107992790		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992790	protein_coding				XP_016904342.1	mRNA
XM_017048852.3	LOC107992790	NC_083852.1	-	6	1069	924	111	34	GeneID:107992790		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992790	protein_coding				XP_016904341.1	mRNA
XM_062082766.1	LOC133667054	NC_083852.1	+	11	1746	1257	245	244	GeneID:133667054		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667054	protein_coding				XP_061938750.1	mRNA
XM_062082777.1	LOC133667054	NC_083852.1	+	11	1688	1257	187	244	GeneID:133667054		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667054	protein_coding				XP_061938761.1	mRNA
XM_062082717.1	LOC107992756	NC_083852.1	+	8	3302	2085	943	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_061938701.1	mRNA
XM_062082695.1	LOC107992756	NC_083852.1	+	8	3472	2163	1035	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_061938679.1	mRNA
XM_062082706.1	LOC107992756	NC_083852.1	+	8	3400	2163	963	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_061938690.1	mRNA
XM_062082703.1	LOC107992756	NC_083852.1	+	7	3368	2163	931	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_061938687.1	mRNA
XM_062082711.1	LOC107992756	NC_083852.1	+	7	3298	2163	861	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_061938695.1	mRNA
XM_017048810.3	LOC107992756	NC_083852.1	+	6	2976	2469	233	274	GeneID:107992756		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992756	protein_coding				XP_016904299.1	mRNA
XR_009832171.1	LOC133667061	NC_083852.1	-	2	601	0	0	0	GeneID:133667061		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667061	lncRNA					lnc_RNA
XM_062082861.1	LOC133667059	NC_083852.1	+	1	495	408	15	72	GeneID:133667059		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667059	protein_coding				XP_061938845.1	mRNA
XR_001764966.3	LOC107992759	NC_083852.1	-	2	1319	0	0	0	GeneID:107992759		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC107992759	lncRNA					lnc_RNA
XM_017048811.3	LOC107992757	NC_083852.1	-	3	2377	519	1211	647	GeneID:107992757		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992757	protein_coding				XP_016904300.1	mRNA
XM_017048766.3	LOC107992724	NC_083852.1	-	12	2211	1869	172	170	GeneID:107992724		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992724	protein_coding				XP_016904255.1	mRNA
XM_017048765.3	LOC107992724	NC_083852.1	-	12	2268	1869	229	170	GeneID:107992724		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992724	protein_coding				XP_016904254.1	mRNA
XM_017048768.3	LOC107992724	NC_083852.1	-	12	2255	1869	216	170	GeneID:107992724		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992724	protein_coding				XP_016904257.1	mRNA
XM_062082722.1	LOC108004355	NC_083852.1	+	10	3070	2283	144	643	GeneID:108004355		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC108004355	protein_coding				XP_061938706.1	mRNA
XM_062082724.1	LOC108004355	NC_083852.1	+	10	3067	2280	144	643	GeneID:108004355		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC108004355	protein_coding				XP_061938708.1	mRNA
XR_003696210.2	LOC114576779	NC_083852.1	-	2	820	0	0	0	GeneID:114576779		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC114576779	lncRNA					lnc_RNA
XM_017048738.3	LOC107992713	NC_083852.1	-	4	1321	468	743	110	GeneID:107992713		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992713	protein_coding				XP_016904227.2	mRNA
XM_062082880.1	LOC114576852	NC_083852.1	+	3	6101	2415	430	3256	GeneID:114576852		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC114576852	protein_coding				XP_061938864.1	mRNA
XM_062082653.1	LOC107992804	NC_083852.1	-	11	3201	2322	231	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938637.1	mRNA
XM_062082670.1	LOC107992804	NC_083852.1	-	10	3127	2322	157	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938654.1	mRNA
XM_062082650.1	LOC107992804	NC_083852.1	-	11	3261	2334	114	813	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938634.1	mRNA
XM_062082601.1	LOC107992804	NC_083852.1	-	12	3468	2706	114	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938585.1	mRNA
XM_062082645.1	LOC107992804	NC_083852.1	-	11	3261	2502	111	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938629.1	mRNA
XM_062082677.1	LOC107992804	NC_083852.1	-	12	3334	2460	226	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938661.1	mRNA
XM_062082642.1	LOC107992804	NC_083852.1	-	10	3051	2388	15	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938626.1	mRNA
XM_062082614.1	LOC107992804	NC_083852.1	-	11	3189	2526	15	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938598.1	mRNA
XM_062082599.1	LOC107992804	NC_083852.1	-	11	3255	2592	15	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938583.1	mRNA
XM_062082602.1	LOC107992804	NC_083852.1	-	12	3390	2562	15	813	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938586.1	mRNA
XM_062082598.1	LOC107992804	NC_083852.1	-	12	3393	2730	15	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938582.1	mRNA
XM_062082647.1	LOC107992804	NC_083852.1	-	11	4214	2406	1160	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938631.1	mRNA
XM_062082619.1	LOC107992804	NC_083852.1	-	12	4418	2610	1160	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938603.1	mRNA
XM_062082683.1	LOC107992804	NC_083852.1	-	12	3310	2460	202	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938667.1	mRNA
XM_062082605.1	LOC107992804	NC_083852.1	-	12	3371	2706	17	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938589.1	mRNA
XM_062082637.1	LOC107992804	NC_083852.1	-	11	3353	2538	2	813	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938621.1	mRNA
XM_062082630.1	LOC107992804	NC_083852.1	-	11	8377	2562	5167	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938614.1	mRNA
XM_062082661.1	LOC107992804	NC_083852.1	-	10	11112	2322	8142	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938645.1	mRNA
XM_062082646.1	LOC107992804	NC_083852.1	-	11	11316	2460	8208	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938630.1	mRNA
XM_062082664.1	LOC107992804	NC_083852.1	-	10	9202	2322	6232	648	GeneID:107992804		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992804	protein_coding				XP_061938648.1	mRNA
XR_001765005.3	LOC107992875	NC_083852.1	-	13	2990	0	0	0	GeneID:107992875		COORDINATES: polyA evidence [ECO:0006239]	misc_RNA	LOC107992875	protein_coding					transcript
XM_017048991.3	LOC107992875	NC_083852.1	-	12	3083	1599	635	849	GeneID:107992875		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992875	protein_coding				XP_016904480.1	mRNA
XM_062082751.1	LOC107992875	NC_083852.1	-	12	2966	1599	518	849	GeneID:107992875		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992875	protein_coding				XP_061938735.1	mRNA
XM_062082895.1	LOC107992715	NC_083852.1	+	54	15492	13980	342	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938879.1	mRNA
XM_062082925.1	LOC107992715	NC_083852.1	+	54	15465	13953	342	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938909.1	mRNA
XM_062082915.1	LOC107992715	NC_083852.1	+	54	15471	13959	342	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938899.1	mRNA
XM_062082932.1	LOC107992715	NC_083852.1	+	53	15425	13914	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938916.1	mRNA
XM_062082952.1	LOC107992715	NC_083852.1	+	52	15335	13824	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938936.1	mRNA
XM_062082946.1	LOC107992715	NC_083852.1	+	53	15374	13863	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938930.1	mRNA
XM_062082965.1	LOC107992715	NC_083852.1	+	52	15284	13773	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938949.1	mRNA
XM_062082911.1	LOC107992715	NC_083852.1	+	54	15476	13965	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938895.1	mRNA
XM_062082956.1	LOC107992715	NC_083852.1	+	52	15320	13809	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938940.1	mRNA
XM_062082967.1	LOC107992715	NC_083852.1	+	52	15269	13758	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938951.1	mRNA
XM_062082938.1	LOC107992715	NC_083852.1	+	54	15416	13905	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938922.1	mRNA
XM_062082970.1	LOC107992715	NC_083852.1	+	52	15245	13734	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938954.1	mRNA
XM_062082958.1	LOC107992715	NC_083852.1	+	53	15284	13773	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938942.1	mRNA
XM_062082973.1	LOC107992715	NC_083852.1	+	52	15194	13683	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938957.1	mRNA
XM_062082902.1	LOC107992715	NC_083852.1	+	54	15479	13968	341	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938886.1	mRNA
XM_062082906.1	LOC107992715	NC_083852.1	+	54	15218	13968	80	1170	GeneID:107992715		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992715	protein_coding				XP_061938890.1	mRNA
XM_062083111.1	LOC107992717	NC_083852.1	-	3	4725	1560	833	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_061939095.1	mRNA
XM_017048753.3	LOC107992717	NC_083852.1	-	3	4539	1560	647	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_016904242.1	mRNA
XM_062083098.1	LOC107992717	NC_083852.1	-	3	5133	1560	1241	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_061939082.1	mRNA
XM_017048757.3	LOC107992717	NC_083852.1	-	3	5139	1560	1247	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_016904246.1	mRNA
XM_062083095.1	LOC107992717	NC_083852.1	-	3	6557	1560	2665	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_061939079.1	mRNA
XM_062083107.1	LOC107992717	NC_083852.1	-	3	4625	1560	733	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_061939091.1	mRNA
XM_028664349.2	LOC107992717	NC_083852.1	-	3	6506	1560	2614	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_028520150.1	mRNA
XM_017048756.3	LOC107992717	NC_083852.1	-	3	6613	1560	2721	2332	GeneID:107992717		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992717	protein_coding				XP_016904245.1	mRNA
XM_062083045.1	LOC133667068	NC_083852.1	-	4	4545	2826	1209	510	GeneID:133667068		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667068	protein_coding				XP_061939029.1	mRNA
XM_062083057.1	LOC133667068	NC_083852.1	-	4	3403	2577	316	510	GeneID:133667068		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667068	protein_coding				XP_061939041.1	mRNA
XM_062083053.1	LOC133667068	NC_083852.1	-	4	10849	2577	7762	510	GeneID:133667068		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC133667068	protein_coding				XP_061939037.1	mRNA
XM_028664345.2	LOC107992716	NC_083852.1	+	11	6016	2868	159	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_028520146.1	mRNA
XM_017048750.3	LOC107992716	NC_083852.1	+	11	6872	2952	931	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_016904239.1	mRNA
XM_028664344.2	LOC107992716	NC_083852.1	+	11	6866	2922	955	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_028520145.1	mRNA
XM_028664348.2	LOC107992716	NC_083852.1	+	9	4949	1410	550	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_028520149.1	mRNA
XM_062083020.1	LOC107992716	NC_083852.1	+	9	4408	1404	15	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_061939004.1	mRNA
XM_062083027.1	LOC107992716	NC_083852.1	+	8	5681	1275	1417	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_061939011.1	mRNA
XM_062083033.1	LOC107992716	NC_083852.1	+	8	5585	1233	1363	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_061939017.1	mRNA
XM_028664346.2	LOC107992716	NC_083852.1	+	6	9895	1986	4920	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_028520147.2	mRNA
XM_028664347.2	LOC107992716	NC_083852.1	+	6	10264	1746	5529	2989	GeneID:107992716		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992716	protein_coding				XP_028520148.1	mRNA
XM_062083123.1	LOC107992718	NC_083852.1	-	6	5510	1365	3864	281	GeneID:107992718		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992718	protein_coding				XP_061939107.1	mRNA
XM_017048759.3	LOC107992718	NC_083852.1	-	6	2034	1365	388	281	GeneID:107992718		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992718	protein_coding				XP_016904248.2	mRNA
XM_062083130.1	LOC107992718	NC_083852.1	-	5	1768	1350	137	281	GeneID:107992718		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992718	protein_coding				XP_061939114.1	mRNA
XR_009832212.1	LOC133667075	NC_083852.1	+	4	15250	0	0	0	GeneID:133667075			ncRNA	LOC133667075	lncRNA					lnc_RNA
XM_017048761.3	LOC107992719	NC_083852.1	+	2	2808	672	1742	394	GeneID:107992719		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992719	protein_coding				XP_016904250.1	mRNA
XR_009832195.1	LOC107992711	NC_083852.1	-	2	1840	0	0	0	GeneID:107992711			misc_RNA	LOC107992711	protein_coding			dendritic arbor reduction protein 1, transcript variant X2		transcript
XM_062083062.1	LOC107992711	NC_083852.1	-	2	7558	1944	242	5372	GeneID:107992711		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992711	protein_coding				XP_061939046.1	mRNA
XR_009832216.1	LOC133667076	NC_083852.1	+	3	1896	0	0	0	GeneID:133667076			ncRNA	LOC133667076	lncRNA					lnc_RNA
XR_009831590.1	LOC133666845	NC_083852.1	-	2	7995	0	0	0	GeneID:133666845		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133666845	lncRNA			uncharacterized LOC133666845		lnc_RNA
XM_017048849.3	LOC107992786	NC_083852.1	+	4	3405	2604	178	623	GeneID:107992786		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992786	protein_coding				XP_016904338.1	mRNA
XM_028664357.2	LOC107992786	NC_083852.1	+	4	3387	2598	166	623	GeneID:107992786		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992786	protein_coding				XP_028520158.1	mRNA
XM_028664358.2	LOC107992786	NC_083852.1	+	3	3123	2256	244	623	GeneID:107992786		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992786	protein_coding				XP_028520159.1	mRNA
XR_009832219.1	LOC133667080	NC_083852.1	+	7	12701	0	0	0	GeneID:133667080		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667080	lncRNA					lnc_RNA
XR_009832218.1	LOC133667080	NC_083852.1	+	7	12648	0	0	0	GeneID:133667080		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667080	lncRNA					lnc_RNA
XR_009832221.1	LOC133667080	NC_083852.1	+	7	12515	0	0	0	GeneID:133667080		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667080	lncRNA					lnc_RNA
XR_009832224.1	LOC133667080	NC_083852.1	+	8	12409	0	0	0	GeneID:133667080		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667080	lncRNA					lnc_RNA
XR_009832225.1	LOC133667080	NC_083852.1	+	5	15375	0	0	0	GeneID:133667080		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667080	lncRNA					lnc_RNA
XM_062083280.1	LOC107992753	NC_083852.1	-	3	3247	519	2460	268	GeneID:107992753		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992753	protein_coding				XP_061939264.1	mRNA
XM_017048806.3	LOC107992753	NC_083852.1	-	3	950	519	163	268	GeneID:107992753		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992753	protein_coding				XP_016904295.1	mRNA
XM_028664316.2	LOC107992753	NC_083852.1	-	3	981	519	194	268	GeneID:107992753		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992753	protein_coding				XP_028520117.1	mRNA
XR_001764961.3	LOC107992750	NC_083852.1	+	4	2887	0	0	0	GeneID:107992750		COORDINATES: polyA evidence [ECO:0006239]	misc_RNA	LOC107992750	protein_coding					transcript
XM_017048799.3	LOC107992750	NC_083852.1	+	3	2632	876	322	1434	GeneID:107992750		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992750	protein_coding				XP_016904288.1	mRNA
XM_062083291.1	LOC114576853	NC_083852.1	-	6	1688	405	521	762	GeneID:114576853		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC114576853	protein_coding				XP_061939275.1	mRNA
XM_017048797.3	LOC107992749	NC_083852.1	+	9	3054	2064	653	337	GeneID:107992749		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992749	protein_coding				XP_016904286.1	mRNA
XR_009832254.1	LOC133667100	NC_083852.1	-	2	1845	0	0	0	GeneID:133667100		COORDINATES: polyA evidence [ECO:0006239]	ncRNA	LOC133667100	lncRNA					lnc_RNA
XM_017048805.3	LOC107992752	NC_083852.1	-	2	1402	552	405	445	GeneID:107992752		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992752	protein_coding				XP_016904294.1	mRNA
XM_017048802.3	LOC107992752	NC_083852.1	-	3	1511	552	514	445	GeneID:107992752		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992752	protein_coding				XP_016904291.1	mRNA
XM_062083264.1	LOC107992752	NC_083852.1	-	3	1618	552	621	445	GeneID:107992752		COORDINATES: polyA evidence [ECO:0006239]	mRNA	LOC107992752	protein_coding				XP_061939248.1	mRNA
